,,number of data codeblocks,,,,
,Version,H,L,M,Q,
,,,,,,
{,1,9,19,16,13,}
{,2,16,34,28,22,}
{,3,26,55,44,34,}
{,4,36,80,64,48,}
{,5,46,108,86,62,}
{,6,60,136,108,76,}
{,7,66,156,124,88,}
{,8,86,194,154,110,}
{,9,100,232,182,132,}
{,10,122,274,216,154,}
{,11,140,324,254,180,}
{,12,158,370,290,206,}
{,13,180,428,334,244,}
{,14,197,461,365,261,}
{,15,223,523,415,295,}
{,16,253,589,453,325,}
{,17,283,647,507,367,}
{,18,313,721,563,397,}
{,19,341,795,627,445,}
{,20,385,861,669,485,}
{,21,406,932,714,512,}
{,22,442,1006,782,568,}
{,23,464,1094,860,614,}
{,24,514,1174,914,664,}
{,25,538,1276,1000,718,}
{,26,596,1370,1062,754,}
{,27,628,1468,1128,808,}
{,28,661,1531,1193,871,}
{,29,701,1631,1267,911,}
{,30,745,1735,1373,985,}
{,31,793,1843,1455,1033,}
{,32,845,1955,1541,1115,}
{,33,901,2071,1631,1171,}
{,34,961,2191,1725,1231,}
{,35,986,2306,1812,1286,}
{,36,1054,2434,1914,1354,}
{,37,1096,2566,1992,1426,}
{,38,1142,2702,2102,1502,}
{,39,1222,2812,2216,1582,}
{,40,1276,2956,2334,1666,}
